temp,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,month,day,month_sin,month_cos,day_sin,day_cos,sunup_hours,conditions_clear,conditions_overcast,conditions_partiallycloudy,conditions_rain,conditions_snow
-2.9,-0.9,98.0,19.799,100,29.17,36.0,26.5,1019.3,94.0,5.6,0.82,1,1,0.0,1.0,0.0,1.0,9.0,0,1,0,1,1
-6.1,-3.2,97.1,0.002,100,4.17,10.4,244.6,1026.6,85.7,7.4,0.86,1,2,0.0,1.0,0.20129852008866006,0.9795299412524945,9.0,0,0,1,0,1
-3.3,-6.4,96.7,0.0,0,0.0,19.4,250.9,1027.2,79.5,5.2,0.89,1,3,0.0,1.0,0.39435585511331855,0.9189578116202306,9.0,0,0,1,0,0
-6.3,-5.7,84.4,0.0,0,0.0,10.8,254.3,1023.2,71.3,7.5,0.92,1,4,0.0,1.0,0.5712682150947923,0.8207634412072763,9.0,0,0,1,0,0
0.3,-7.3,92.8,0.0,0,0.0,15.1,241.6,1020.7,46.8,5.8,0.96,1,5,0.0,1.0,0.7247927872291199,0.6889669190756866,9.0,0,0,1,0,0
1.1,-0.3,96.7,1.116,100,16.67,10.8,283.1,1021.7,90.7,6.6,0.0,1,6,0.0,1.0,0.8486442574947509,0.5289640103269625,9.0,0,1,0,1,1
-6.8,-1.7,82.4,0.001,100,4.17,7.2,296.3,1027.4,62.5,8.9,0.02,1,7,0.0,1.0,0.9377521321470804,0.3473052528448203,9.0,0,0,1,1,1
-8.9,-7.2,96.6,0.559,100,4.17,13.5,267.9,1028.7,23.2,2.7,0.06,1,8,0.0,1.0,0.9884683243281114,0.1514277775045767,9.0,0,0,1,0,1
-7.9,-8.9,99.1,0.0,0,0.0,7.2,259.9,1028.8,89.7,0.4,0.09,1,9,0.0,1.0,0.9987165071710528,-0.05064916883871264,9.0,0,0,1,0,0
-6.4,-8.3,96.2,0.0,0,0.0,7.2,244.0,1031.2,100.0,1.5,0.13,1,10,0.0,1.0,0.9680771188662043,-0.2506525322587204,9.0,0,1,0,0,0
-2.1,-6.3,99.4,0.0,0,0.0,16.6,256.8,1036.0,99.9,2.2,0.16,1,11,0.0,1.0,0.8978045395707416,-0.4403941515576344,9.0,0,1,0,0,0
-1.9,-2.7,94.9,1.237,100,12.5,10.8,155.3,1037.0,96.3,5.1,0.2,1,12,0.0,1.0,0.7907757369376985,-0.6121059825476628,9.0,0,1,0,1,1
-7.6,-2.7,94.5,1.183,100,12.5,11.5,92.6,1035.6,85.1,4.9,0.23,1,13,0.0,1.0,0.6513724827222223,-0.758758122692791,9.0,0,0,1,1,1
-8.5,-8.2,95.5,0.0,0,0.0,7.9,248.7,1033.0,40.9,2.5,0.25,1,14,0.0,1.0,0.48530196253108104,-0.8743466161445821,9.0,0,0,1,0,0
-5.8,-8.3,99.6,0.0,0,0.0,18.8,254.6,1029.4,66.8,3.6,0.3,1,15,0.0,1.0,0.299363122973358,-0.9541392564000488,9.0,0,0,1,0,0
-3.2,-5.8,99.8,0.0,0,0.0,10.8,267.2,1026.3,98.5,3.9,0.33,1,16,0.0,1.0,0.10116832198743228,-0.9948693233918952,9.0,0,1,0,0,0
-0.4,-4.3,91.9,1.217,100,16.67,28.8,242.8,1011.7,97.2,5.4,0.37,1,17,0.0,1.0,-0.10116832198743203,-0.9948693233918952,9.0,0,1,0,1,1
-0.9,-4.5,75.7,0.0,0,0.0,33.4,265.0,991.8,53.9,9.9,0.4,1,18,0.0,1.0,-0.2993631229733578,-0.9541392564000489,9.0,0,0,1,0,0
-2.3,-5.9,70.0,0.0,0,0.0,21.0,281.0,1002.5,60.9,10.8,0.44,1,19,0.0,1.0,-0.4853019625310809,-0.8743466161445822,9.0,0,0,1,0,0
-1.1,-7.8,67.2,0.098,100,4.17,24.0,267.5,1015.6,45.9,9.6,0.47,1,20,0.0,1.0,-0.651372482722222,-0.7587581226927911,9.0,0,0,1,0,1
-4.1,-3.8,82.3,1.598,100,4.17,43.2,260.6,1004.1,81.7,10.3,0.5,1,21,0.0,1.0,-0.7907757369376986,-0.6121059825476628,9.0,0,0,1,1,1
-8.7,-7.0,82.3,0.799,100,8.33,20.9,258.2,1013.4,46.3,8.6,0.54,1,22,0.0,1.0,-0.8978045395707417,-0.4403941515576342,9.0,0,0,1,0,1
-3.6,-9.9,91.3,0.781,100,12.5,24.0,55.6,1012.9,78.1,7.4,0.57,1,23,0.0,1.0,-0.9680771188662043,-0.2506525322587204,9.0,0,0,1,0,1
-8.0,-3.8,98.2,6.552,100,29.17,21.1,67.1,1005.2,99.9,3.9,0.6,1,24,0.0,1.0,-0.9987165071710528,-0.05064916883871266,9.0,0,1,0,1,1
-12.6,-9.2,91.6,2.202,100,20.83,17.3,242.8,1021.4,93.5,5.9,0.64,1,25,0.0,1.0,-0.9884683243281114,0.15142777750457667,10.0,0,1,0,0,1
-5.9,-14.2,88.3,0.0,0,0.0,18.0,252.4,1023.9,66.9,5.0,0.67,1,26,0.0,1.0,-0.9377521321470804,0.3473052528448203,10.0,0,0,1,0,0
-6.0,-9.0,79.2,0.0,0,0.0,21.2,262.1,1022.8,44.8,8.9,0.7,1,27,0.0,1.0,-0.848644257494751,0.5289640103269624,10.0,0,0,1,0,0
-4.9,-9.4,77.4,0.0,0,0.0,17.5,250.6,1021.0,4.2,7.1,0.75,1,28,0.0,1.0,-0.7247927872291201,0.6889669190756865,10.0,1,0,0,0,0
0.2,-7.7,82.1,0.0,0,0.0,17.3,246.7,1018.6,28.5,4.6,0.77,1,29,0.0,1.0,-0.5712682150947924,0.8207634412072763,10.0,0,0,1,0,0
3.2,-3.1,78.9,0.001,100,4.17,26.4,234.6,1011.0,62.0,9.6,0.8,1,30,0.0,1.0,-0.3943558551133187,0.9189578116202306,10.0,0,0,1,1,0
5.2,-0.1,79.2,78.166,100,4.17,28.7,248.1,1017.0,30.8,11.1,0.83,1,31,0.0,1.0,-0.20129852008866028,0.9795299412524945,10.0,0,0,1,1,0
3.6,0.9,75.9,0.0,0,0.0,17.3,247.0,1022.5,22.1,11.2,0.87,2,1,0.49999999999999994,0.8660254037844387,0.0,1.0,10.0,0,0,1,0,0
4.1,0.7,83.3,0.0,0,0.0,20.6,245.4,1017.9,13.8,8.1,0.9,2,2,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,10.0,1,0,0,0,0
1.3,2.3,88.9,0.001,100,4.17,14.6,253.7,1014.7,64.1,9.0,0.93,2,3,0.49999999999999994,0.8660254037844387,0.39435585511331855,0.9189578116202306,10.0,0,0,1,1,0
-0.8,-1.5,82.7,0.0,0,0.0,18.0,89.2,1029.8,45.3,10.0,0.96,2,4,0.49999999999999994,0.8660254037844387,0.5712682150947923,0.8207634412072763,10.0,0,0,1,0,0
3.1,-2.5,88.7,0.0,0,0.0,23.8,254.4,1025.9,66.7,9.8,0.0,2,5,0.49999999999999994,0.8660254037844387,0.7247927872291199,0.6889669190756866,10.0,0,0,1,0,0
4.9,1.0,86.0,0.0,0,0.0,13.7,250.6,1024.6,55.4,9.3,0.03,2,6,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269625,10.0,0,0,1,0,0
6.5,3.2,90.0,0.0,0,0.0,14.4,245.5,1022.6,7.7,6.3,0.07,2,7,0.49999999999999994,0.8660254037844387,0.9377521321470804,0.3473052528448203,10.0,1,0,0,0,0
6.4,4.8,89.8,0.0,0,0.0,20.2,243.0,1016.0,28.6,6.3,0.1,2,8,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,10.0,0,0,1,0,0
5.1,4.7,89.4,0.0,0,0.0,18.7,245.8,1010.6,73.7,9.5,0.14,2,9,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,10.0,0,0,1,0,0
4.0,4.2,93.9,4.799,100,20.83,22.4,54.7,1020.4,74.9,9.4,0.17,2,10,0.49999999999999994,0.8660254037844387,0.9680771188662043,-0.2506525322587204,10.0,0,0,1,1,0
2.0,2.7,92.3,0.0,0,0.0,10.8,234.6,1026.1,48.2,4.8,0.21,2,11,0.49999999999999994,0.8660254037844387,0.8978045395707416,-0.4403941515576344,10.0,0,0,1,0,0
2.0,1.3,95.9,0.0,0,0.0,14.4,95.2,1027.1,86.7,2.6,0.24,2,12,0.49999999999999994,0.8660254037844387,0.7907757369376985,-0.6121059825476628,10.0,0,0,1,0,0
2.7,1.5,96.8,0.0,0,0.0,13.7,214.2,1022.5,95.7,3.4,0.25,2,13,0.49999999999999994,0.8660254037844387,0.6513724827222223,-0.758758122692791,10.0,0,1,0,0,0
3.1,2.4,97.9,0.799,100,4.17,18.0,245.5,1016.3,99.2,3.6,0.31,2,14,0.49999999999999994,0.8660254037844387,0.48530196253108104,-0.8743466161445821,10.0,0,1,0,1,0
2.0,1.5,90.4,1.37,100,25.0,7.4,266.8,1018.0,76.2,8.2,0.35,2,15,0.49999999999999994,0.8660254037844387,0.299363122973358,-0.9541392564000488,10.0,0,0,1,1,1
2.8,-1.2,81.2,0.522,100,4.17,17.7,244.3,1016.3,18.0,8.7,0.38,2,16,0.49999999999999994,0.8660254037844387,0.10116832198743228,-0.9948693233918952,10.0,0,0,0,1,1
3.0,0.7,87.1,0.138,100,4.17,15.1,80.3,1004.8,49.3,10.4,0.42,2,17,0.49999999999999994,0.8660254037844387,-0.10116832198743203,-0.9948693233918952,11.0,0,0,1,1,0
